POSITION	REGION
48	NTS2
49	NTS2
50	NTS2
51	NTS2
52	NTS2
53	NTS2
54	NTS2
55	NTS2
56	NTS2
57	NTS2
58	NTS2
59	NTS2
60	NTS2
177	NTS2
178	NTS2
179	NTS2
180	NTS2
181	NTS2
182	NTS2
183	NTS2
184	NTS2
185	NTS2
186	NTS2
187	NTS2
188	NTS2
1371	NTS1
1372	NTS1
1373	NTS1
1374	NTS1
1375	NTS1
1376	NTS1
1377	NTS1
1378	NTS1
1379	NTS1
1380	NTS1
1381	NTS1
1382	NTS1
1383	NTS1
1384	NTS1
1385	NTS1
1386	NTS1
1387	NTS1
1388	NTS1
1389	NTS1
1390	NTS1
1391	NTS1
1392	NTS1
1393	NTS1
1394	NTS1
1395	NTS1
1396	NTS1
1397	NTS1
1398	NTS1
1399	NTS1
1400	NTS1
1401	NTS1
1402	NTS1
1403	NTS1
1568	NTS1
1569	NTS1
1570	NTS1
1571	NTS1
1572	NTS1
1573	NTS1
1574	NTS1
1575	NTS1
1576	NTS1
1577	NTS1
1578	NTS1
1579	NTS1
1580	NTS1
1581	NTS1
1582	NTS1
1583	NTS1
1584	NTS1
1585	NTS1
1586	NTS1
1587	NTS1
1588	NTS1
1589	NTS1
1950	NTS1
1951	NTS1
1952	NTS1
1953	NTS1
1954	NTS1
1955	NTS1
1956	NTS1
1957	NTS1
1958	NTS1
1959	NTS1
1960	NTS1
1961	NTS1
1962	NTS1
1963	NTS1
1964	NTS1
1965	NTS1
1966	NTS1
1967	NTS1
1968	NTS1
1969	NTS1
1970	NTS1
1971	NTS1
1972	NTS1
1973	NTS1
1974	NTS1
1975	NTS1
2043	NTS1
2044	NTS1
2045	NTS1
2046	NTS1
2047	NTS1
2048	NTS1
2049	NTS1
2050	NTS1
2051	NTS1
2052	NTS1
2053	NTS1
2054	NTS1
2243	NTS1
2244	NTS1
2245	NTS1
2246	NTS1
2247	NTS1
2248	NTS1
2249	NTS1
2250	NTS1
2251	NTS1
2252	NTS1
2253	NTS1
2254	NTS1
2255	NTS1
2256	NTS1
2257	NTS1
2258	NTS1
2259	NTS1
2260	NTS1
2261	NTS1
2262	NTS1
2263	NTS1
2264	NTS1
2265	NTS1
2266	NTS1
2267	NTS1
2268	NTS1
2269	NTS1
2270	NTS1
2271	NTS1
2272	NTS1
2273	NTS1
2274	NTS1
2481	ETS2
2482	ETS2
2483	ETS2
2484	ETS2
2485	ETS2
2486	ETS2
2487	ETS2
2488	ETS2
2489	ETS2
2490	ETS2
2491	25S
2492	25S
2493	25S
2494	25S
2495	25S
2496	25S
6033	ITS2
6034	ITS2
6035	ITS2
6036	ITS2
6037	ITS2
6038	ITS2
6039	ITS2
6040	ITS2
6041	ITS2
6042	ITS2
6043	ITS2
6044	ITS2
6598	ITS1
6599	ITS1
6600	ITS1
6601	ITS1
6602	ITS1
6603	ITS1
6604	ITS1
6605	ITS1
6606	ITS1
6607	ITS1
6608	ITS1
6609	ITS1
6610	ITS1
6611	ITS1
8467	ETS1
8468	ETS1
8469	ETS1
8470	ETS1
8471	ETS1
8472	ETS1
8473	ETS1
8474	ETS1
8475	ETS1
8476	ETS1
8477	ETS1
8478	ETS1
8489	ETS1
8490	ETS1
8491	ETS1
8492	ETS1
8493	ETS1
8494	ETS1
8495	ETS1
8496	ETS1
8497	ETS1
8498	ETS1
8499	ETS1
8500	ETS1
8501	ETS1
8502	ETS1
8503	ETS1
8504	ETS1
